emp_id	fname	lname	address	city	state	zipcode	job_title	email	active	salary
AA1130960	Amy	Alicea	2472 25th Street	Fulton	KY	42041	Sales Associate	aa1130960@example.com	Y	22329
AA1146303	Anna	Atkins	4640 East 10th Street	Scotts Valley	CA	95066	Assistant Manager	aa1146303@example.com	Y	99645
AA1154964	Annie	Albritton	4444 West 14th Street	Thorpe	WV	24888	Sales Associate	aa1154964@example.com	Y	26717
AA1352280	Antoine	Aguirre	3293 West 2nd Street	Mobile	AL	36630	Sales Associate	aa1352280@example.com	Y	26078
AA1411429	Arthur	Andersen	4216 21st Street	Canton	MS	39046	Cashier	aa1411429@example.com	Y	17486
AA1418885	Amanda	Atkinson	1863 13th Street	Stockton	CA	95207	Sales Associate	aa1418885@example.com	Y	22278
AA1510726	Ann	Askew	25406 West 12th Street	Webbville	KY	41180	Merchandiser	aa1510726@example.com	Y	17220
AA1567042	Anne	Almonte	4950 North 8th Street	Springville	CA	93265	Cashier	aa1567042@example.com	Y	18566
AA1609979	Anthony	Allen	25241 North 2nd Street	Aspers	PA	17304	Cashier	aa1609979@example.com	Y	20575
AA1636177	Anthony	Aguilar	4885 Carter Road	Peetz	CO	80747	Sales Associate	aa1636177@example.com	Y	25262
AA1664455	Amy	Arriaga	4100 East 8th Street	Franklin Springs	NY	13341	Sales Associate	aa1664455@example.com	Y	21271
AA1881657	Angelica	Atkinson	784 West 14th Street	Sacramento	CA	94247	Sales Associate	aa1881657@example.com	Y	25081
AA1887065	Alice	Adorno	2612 West 17th Street	Carrollton	OH	44615	Sales Associate	aa1887065@example.com	Y	27093
AA1890776	Alisa	Asher	2116 East Victoria Road	Price	UT	84501	Sales Associate	aa1890776@example.com	Y	24519
AA2028155	Albert	Arevalo	8474 East Oak Boulevard	San Jose	CA	95160	Sales Associate	aa2028155@example.com	Y	26406
AA2052636	Albert	Ayala	33878 East 17th Street	Oakland	CA	94626	Sales Associate	aa2052636@example.com	Y	25970
AA2055666	Andrea	Alexander	3577 North 18th Street	Castro Valley	CA	94552	Cashier	aa2055666@example.com	Y	21738
AA2201561	Amy	Alaniz	868 East 12th Street	Trout Lake	WA	98650	Maintenance Worker	aa2201561@example.com	Y	23898
AA2259449	Annie	Ault	13490 North 16th Street	Middletown	OH	45043	Cashier	aa2259449@example.com	Y	16704
AA2334286	Adam	Ault	1761 West 22nd Street	Uriah	AL	36480	Sales Associate	aa2334286@example.com	Y	23146
AA2338423	Adam	Abrams	1419 Edwards Road	Clearlake Park	CA	95424	Assistant Manager	aa2338423@example.com	Y	271197
AA2432674	Andrew	Allen	4084 East 19th Street	San Bruno	CA	94067	Sales Associate	aa2432674@example.com	Y	23957
AA2496241	Alyssa	Atkinson	6576 West Davis Road	Chenoa	IL	61726	Sales Associate	aa2496241@example.com	Y	22565
